Почти все возможности взаимодействия с игрой в MoonLoader реализованы посредством эмуляции опкодов, которые используются в игре для программирования миссий. Многие опкоды не вошли в релиз MoonLoader с самой первой версии, часть вошедших опкодов позже была заменена встроенными реализациями в обновлениях.
Следующая таблица содержит все опкоды игры, где каждому опкоду соответствует его аналог в Lua и комментарий о различиях или причинах отсутствия.
Отсутствие пояснения к опкоду в третьей колонке означает, что Lua функция напрямую эмулирует опкод игры без каких-либо изменений в поведении.

Опкод	Lua	Пояснение
0104	bool result = locateCharAnyMeansChar3d(Ped ped, Ped nearPed, float radiusX, float radiusY, float radiusZ, bool sphere)	
0105	bool result = locateCharOnFootChar3d(Ped ped, Ped nearPed, float radiusX, float radiusY, float radiusZ, bool sphere)	
0106	bool result = locateCharInCarChar3d(Ped ped, Ped nearPed, float radiusX, float radiusY, float radiusZ, bool sphere)	
0107	Object object = createObject(Model modelId, float atX, float atY, float atZ)	
0108	deleteObject(Object object)	
0109	givePlayerMoney(Player player, int money)	
010A		[3:4]
010B	int money = getPlayerMoney(Player player)	
010C	giveRemoteControlledCarToPlayer(Player player, float float2, float float3, float float4)	
010D	alterWantedLevel(Player player, int wantedLevel)	
010E	alterWantedLevelNoDrop(Player player, int minimumWantedLevel)	
010F	bool result = isWantedLevelGreater(Player player, int level)	
0110	clearWantedLevel(Player player)	
0111	setDeatharrestState(bool value)	
0112	bool result = hasDeatharrestBeenExecuted()	
0114	addAmmoToChar(Ped ped, int weapon, int ammo)	
0117	bool result = isPlayerDead(Player player)	
0118	bool result = isCharDead(Ped ped)	
0119	bool result = isCarDead(Vehicle car)	
0122	bool result = isPlayerPressingHorn(Player player)	
0129	Ped ped = createCharInsideCar(Vehicle car, Model pedtype, int model)	
0137	bool result = isCarModel(Vehicle car, Model modelId)	
014B	int carGenerator = createCarGenerator(float atX, float atY, float atZ, float angle, Model modelId, int color1, int color2, bool forceSpawn, int alarm, int doorLock, int minDelay, int maxDelay)	
014C	switchCarGenerator(int carGenerator, int carsToGenerate)	
014E	displayOnscreenTimer(VarId var, bool countInDirection)	
014F	clearOnscreenTimer(VarId var)	
0151	clearOnscreenCounter(VarId var)	
0154	bool result = isCharInZone(Ped ped, GxtString zoneName)	
0158	pointCameraAtCar(Vehicle car, int mode, int switchstyle)	
0159	pointCameraAtChar(Ped ped, int mode, int switchstyle)	
015A	restoreCamera()	
015B	shakePad(Player player, int time, int intensity)	
015D	setTimeScale(float gamespeed)	
015F	setFixedCameraPosition(float positionX, float positionY, float positionZ, float rotationX, float rotationY, float rotationZ)	
0160	pointCameraAtPoint(float pointAtX, float pointAtY, float pointAtZ, int switchstyle)	
0161	Marker marker = addBlipForCarOld(Vehicle car, int unused, bool visibility)	
0162	Marker marker = addBlipForCharOld(Ped ped, int int2, int int3)	
0164	removeBlip(Marker marker)	
0165	changeBlipColour(Marker marker, int color)	
0167	Marker marker = addBlipForCoordOld(float atX, float atY, float atZ, int color, int flag)	
0168	changeBlipScale(Marker marker, int size)	
0169	setFadingColour(int r, int g, int b)	
016A	doFade(bool in, int time)	
016B	bool result = getFadingStatus()	
016C	addHospitalRestart(float atX, float atY, float atZ, float angle, int townNumber)	
016D	addPoliceRestart(float atX, float atY, float atZ, float angle, int townNumber)	
016E	overrideNextRestart(float atX, float atY, float atZ, float angle)	
016F	drawShadow(Particle particle, float atX, float atY, float atZ, float rotationFactor, float size, int intensity, int flags1, int flags2, int flags3)	
0172	float angle = getCharHeading(Ped ped)	
0173	setCharHeading(Ped ped, float angle)	
0174	float angle = getCarHeading(Vehicle car)	
0175	setCarHeading(Vehicle car, float angle)	
0176	float angle = getObjectHeading(Object object)	
0177	setObjectHeading(Object object, float angle)	
0179	bool result = isCharTouchingObject(Ped ped, Object object)	
017B	setCharAmmo(Ped ped, int weapon, int ammo)	
0180	declareMissionFlag(VarId flag)	
0184		[3:5]
0185		[3:6]
0186	Marker marker = addBlipForCar(Vehicle car)	
0187	Marker marker = addBlipForChar(Ped ped)	
0188	Marker marker = addBlipForObject(Object object)	
018A	Checkpoint checkpoint = addBlipForCoord(float atX, float atY, float atZ)	
018B	changeBlipDisplay(Marker marker, int mode)	
018C	addOneOffSound(float atX, float atY, float atZ, int sound)	
018D	int unk = addContinuousSound(float atX, float atY, float atZ, int sound)	
018E	removeSound(int sound)	
018F	bool result = isCarStuckOnRoof(Vehicle car)	
0190	addUpsidedownCarCheck(Vehicle car)	
0191	removeUpsidedownCarCheck(Vehicle car)	
01A1	bool result = isCharInAreaOnFoot2d(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
01A2	bool result = isCharInAreaInCar2d(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
01A3	bool result = isCharStoppedInArea2d(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
01A4	bool result = isCharStoppedInAreaOnFoot2d(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
01A5	bool result = isCharStoppedInAreaInCar2d(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
01A6	bool result = isCharInAreaOnFoot3d(Ped ped, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
01A7	bool result = isCharInAreaInCar3d(Ped ped, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
01A8	bool result = isCharStoppedInArea3d(Ped ped, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
01A9	bool result = isCharStoppedInAreaOnFoot3d(Ped ped, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
01AA	bool result = isCharStoppedInAreaInCar3d(Ped ped, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
01AB	bool result = isCarStoppedInArea2d(Vehicle car, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
01AC	bool result = isCarStoppedInArea3d(Vehicle car, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool sphere)	
01AD	bool result = locateCar2d(Vehicle car, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
01AE	bool result = locateStoppedCar2d(Vehicle car, float pointX, float pointY, float radiusX, float radiusY, bool sphere)	
01AF	bool result = locateCar3d(Vehicle car, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
01B0	bool result = locateStoppedCar3d(Vehicle car, float sphereX, float sphereY, float sphereZ, float radiusX, float radiusY, float radiusZ, bool sphere)	
01B2	giveWeaponToChar(Ped ped, int weapon, int ammo)	
01B4	bool result = setPlayerControl(Player player, bool canMove)	
01B5	bool result = forceWeather(int weather)	
01B6	bool result = forceWeatherNow(int weather)	
01B7	releaseWeather()	
01B9	setCurrentCharWeapon(Ped ped, int weapon)	
01BB	bool result, float positionX, float positionY, float positionZ = getObjectCoordinates(Object object)	
01BC	bool result = setObjectCoordinates(Object object, float atX, float atY, float atZ)	
01BD	int timeMs = getGameTimer()	
01C0	bool result, int level = storeWantedLevel(Player player)	
01C1	bool result = isCarStopped(Vehicle car)	
01C2	markCharAsNoLongerNeeded(Ped ped)	
01C3	markCarAsNoLongerNeeded(Vehicle car)	
01C4	markObjectAsNoLongerNeeded(Object object)	
01C5	dontRemoveChar(Ped ped)	
01C7	dontRemoveObject(Object object)	
01C8	bool result, Ped ped = createCharAsPassenger(Vehicle car, Model pedtype, int model, int passengerSeat)	
01E3	bool result = printWithNumberBig(GxtString gxtString, int number, int time, int style)	
01E4	bool result = printWithNumber(GxtString gxtString, int number, int time, int flag)	
01E5	bool result = printWithNumberNow(GxtString gxtString, int number, int time, int flag)	
01E7	bool result = switchRoadsOn(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
01E8	switchRoadsOff(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
01E9	bool result, int passengers = getNumberOfPassengers(Vehicle car)	
01EA	int maxPassengers = getMaximumNumberOfPassengers(Vehicle car)	
01EB	bool result = setCarDensityMultiplier(float multiplier)	
01EC	bool result = setCarHeavy(Vehicle car, bool heavy)	
01F0	setMaxWantedLevel(int level)	
01F3	bool result = isCarInAirProper(Vehicle car)	
01F4	bool result = isCarUpsidedown(Vehicle car)	
01F5	bool result, Ped ped = getPlayerChar(Player player)	
01F6	bool result = cancelOverrideRestart()	
01F7	bool result = setPoliceIgnorePlayer(Player player, bool ignored)	
01F9	bool result = startKillFrenzy(GxtString gxtString, int weapon, int timeLimit, int targets, Model targetModels1, Model targetModels2, Model targetModels3, Model targetModels4, bool completedText)	
01FA	bool result, int status = readKillFrenzyStatus()	
01FB	math.sqrt	[2:7]
0202	bool result = locateCharAnyMeansCar2d(Ped ped, Vehicle car, float radiusX, float radiusY, bool sphere)	
0203	bool result = locateCharOnFootCar2d(Ped ped, Vehicle car, float radiusX, float radiusY, bool flag)	
0204	bool result = locateCharInCarCar2d(Ped ped, Vehicle car, float radiusX, float radiusY, bool sphere)	
0205	bool result = locateCharAnyMeansCar3d(Ped ped, Vehicle car, float radiusX, float radiusY, float radiusZ, bool flag)	
0206	bool result = locateCharOnFootCar3d(Ped ped, Vehicle car, float radiusX, float radiusY, float radiusZ, bool flag)	
0207	bool result = locateCharInCarCar3d(Ped ped, Vehicle car, float radiusX, float radiusY, float radiusZ, bool flag)	
0208	math.random	[2:8]
0209	math.random	[2:9]
020A	lockCarDoors(Vehicle car, int status)	
020B	bool result = explodeCar(Vehicle car)	
020C	bool result = addExplosion(float atX, float atY, float atZ, int radius)	
020D	bool result = isCarUpright(Vehicle car)	
0213	bool result, Pickup pickup = createPickup(Model modelId, int type, float atX, float atY, float atZ)	
0214	bool result = hasPickupBeenCollected(Pickup pickup)	
0215	bool result = removePickup(Pickup pickup)	
0216	bool result = setTaxiLights(Vehicle taxi, bool light)	
0217	bool result = printBigQ(GxtString gxtString, int time, int style)	
021B	bool result = setTargetCarForMissionGarage(GxtString garage, Vehicle car)	
0221	bool result = applyBrakesToPlayersCar(Player player, bool apply)	
0223	setCharHealth(Ped ped, int health)	
0224	setCarHealth(Vehicle car, int health)	
0226	int health = getCharHealth(Ped ped)	
0227	int health = getCarHealth(Vehicle car)	
0229	bool result = changeCarColour(Vehicle car, int primaryColor, int secondaryColor)	
022A	switchPedRoadsOn(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
022B	switchPedRoadsOff(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
0235		[1:3]
0236		[1:4]
0237	setGangWeapons(int gang, int weapons1, int weapons2, int weapons3)	
023B	bool result = isCharTouchingObjectOnFoot(Ped ped, Object object)	
023C	loadSpecialCharacter(GxtString gxtString, int id)	
023D	bool result = hasSpecialCharacterLoaded(int id)	
0241	bool result = isPlayerInRemoteMode(Player player)	
0244	setCutsceneOffset(float posX, float posY, float posZ)	
0245	setAnimGroupForChar(Ped ped, string style)	
0247	requestModel(Model modelId)	
0248	bool result = hasModelLoaded(Model modelId)	
0249	markModelAsNoLongerNeeded(Model modelId)	
024F	drawCorona(float atX, float atY, float atZ, float radius, int type, bool lensflares, int r, int g, int b)	
0253	storeClock()	
0254	restoreClock()	
0256	bool result = isPlayerPlaying(Player player)	
0293	int mode = getControllerMode()	
0294	setCanResprayCar(Vehicle car, bool sprayable)	
0296	unloadSpecialCharacter(int id)	
0297	resetNumOfModelsKilledByPlayer(Player player)	
0298	int quantity = getNumOfModelsKilledByPlayer(Player player, Model modelId)	
0299	activateGarage(GxtString garage)	
029B	Object object = createObjectNoOffset(Model modelId, float atX, float atY, float atZ)	
02A0	bool result = isCharStopped(Ped ped)	
02A3	switchWidescreen(bool enable)	
02A4		[1:5]
02A5		[1:6]
02A7	Marker marker = addSpriteBlipForContactPoint(float atX, float atY, float atZ, int icon)	
02A8	Marker marker = addSpriteBlipForCoord(float atX, float atY, float atZ, int type)	
02A9	setCharOnlyDamagedByPlayer(Ped ped, bool enabled)	
02AA	setCarOnlyDamagedByPlayer(Vehicle car, bool enabled)	
02AB	setCharProofs(Ped ped, bool BP, bool FP, bool EP, bool CP, bool MP)	
02AC	setCarProofs(Vehicle car, bool BP, bool FP, bool EP, bool CP, bool MP)	
02B9	deactivateGarage(GxtString garage)	
02BF	bool result = isCarInWater(Vehicle car)	
02C0	float nodeX, float nodeY, float nodeZ = getClosestCharNode(float closestToX, float closestToY, float closestToZ)	
02C1	float nodeX, float nodeY, float nodeZ = getClosestCarNode(float closestToX, float closestToY, float closestToZ)	
02C2	carGotoCoordinatesAccurate(Vehicle car, float toX, float toY, float toZ)	
02CA	bool result = isCarOnScreen(Vehicle car)	
02CB	bool result = isCharOnScreen(Ped ped)	
02CC	bool result = isObjectOnScreen(Object object)	
02CE	float z = getGroundZFor3dCoord(float atX, float atY, float atZ)	
02CF	int fire = startScriptFire(float atX, float atY, float atZ, int propagation, int size)	
02D0	bool result = isScriptFireExtinguished(int fire)	
02D1	removeScriptFire(int fire)	
02D3	boatGotoCoords(Vehicle boat, float toX, float toY, float toZ)	
02D4	boatStop(Vehicle car)	
02D6	bool result = isCharShootingInArea(Ped ped, float cornerAX, float cornerAY, float cornerBX, float cornerBY, int weapon)	
02D8	bool result = isCurrentCharWeapon(Ped ped, int weapon)	
02DB	setBoatCruiseSpeed(Vehicle boat, float speed)	
02DD	Ped ped = getRandomCharInZone(GxtString zone, bool pedtype, bool gang, bool criminal_prostitute)	
02E0	bool result = isCharShooting(Ped ped)	
02E1	Pickup pickup = createMoneyPickup(float atX, float atY, float atZ, int cash, bool permanenceFlag)	
02E2	setCharAccuracy(Ped ped, int accuracy)	
02E3	float speed = getCarSpeed(Vehicle car)	
02E4	loadCutscene(GxtString cutscene)	
02E5	Object object = createCutsceneObject(Model modelId)	
02E6	setCutsceneAnim(int cutscene, GxtString anim)	
02E7	startCutscene()	
02E8	int time = getCutsceneTime()	
02E9	bool result = hasCutsceneFinished()	
02EA	clearCutscene()	
02EB	restoreCameraJumpcut()	
02EC		[1:7]
02ED	setCollectable1Total(int total)	
02EE	bool result = isProjectileInArea(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
02F2	bool result = isCharModel(Ped ped, Model modelId)	
02F3	loadSpecialModel(Model modelId, GxtString gxtString)	
02F6	math.sin	[2:10]
02F7	math.cos	[2:11]
02F8	float forwardX = getCarForwardX(Vehicle car)	
02F9	float forwardY = getCarForwardY(Vehicle car)	
02FA	changeGarageType(GxtString garage, int type)	
02FD	printWith2NumbersNow(GxtString gxtString, int numbers1, int numbers2, int time, int flag)	
02FF	printWith3Numbers(GxtString gxtString, int numbers1, int numbers2, int numbers3, int time, int flag)	
0302	printWith4Numbers(GxtString gxtString, int numbers1, int numbers2, int numbers3, int numbers4, int time, int flag)	
0303	printWith4NumbersNow(GxtString gxtString, int numbers1, int numbers2, int numbers3, int numbers4, int time, int flag)	
0308	printWith6Numbers(GxtString gxtString, int numbers1, int numbers2, int numbers3, int numbers4, int numbers5, int numbers6, int time, int flag)	
030C	playerMadeProgress(int progress)	
030D	setProgressTotal(int maxProgress)	
0317	registerMissionGiven()	
0318	registerMissionPassed(GxtString mission)	
0319		[1:8]
031A	removeAllScriptFires()	
031D	bool result = hasCharBeenDamagedByWeapon(Ped ped, int weapon)	
031E	bool result = hasCarBeenDamagedByWeapon(Vehicle car, int weapon)	
0321	explodeCharHead(Ped ped)	
0323	anchorBoat(Vehicle boat, bool anchor)	
0325	int fire = startCarFire(Vehicle car)	
0326	int fire = startCharFire(Ped ped)	
0327	Vehicle car = getRandomCarOfTypeInArea(float cornerAX, float cornerAY, float cornerBX, float cornerBY, Model modelId)	
0329	bool result = hasResprayHappened(Vehicle car)	
032A	setCameraZoom(int mode)	
032B	Pickup pickup = createPickupWithAmmo(Model modelId, int type, int ammo, float atX, float atY, float atZ)	
032C	setCarRamCar(Vehicle car, Vehicle car)	
0330	setPlayerNeverGetsTired(Player player, bool infiniteRun)	
0331	setPlayerFastReload(Player player, bool fastReload)	
0332	setCharBleeding(Ped ped, bool bleeding)	
0335	setFreeResprays(bool enable)	
0337	setCharVisible(Ped ped, bool visible)	
0338	setCarVisible(Vehicle car, bool visible)	
0339	bool result = isAreaOccupied(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool solid, bool car, bool actor, bool object, bool particle)	
033E	displayText(float posX, float posY, GxtString gxtString)	
033F	setTextScale(float sizeX, float sizeY)	
0340	setTextColour(int r, int g, int b, int a)	
0341	setTextJustify(bool alignJustify)	
0342	setTextCentre(bool centered)	
0343	setTextWrapx(float linewidth)	
0344	setTextCentreSize(float linewidth)	
0345	setTextBackground(bool background)	
0348	setTextProportional(bool proportional)	
0349	setTextFont(int font)	
034D	bool result = rotateObject(Object object, float fromAngle, float toAngle, bool flag)	
034E	bool result = slideObject(Object object, float toX, float toY, float toZ, float speedX, float speedY, float speedZ, bool collisionCheck)	
034F	removeCharElegantly(Ped ped)	
0350	setCharStayInSamePlace(Ped ped, bool enabled)	
0356	bool result = isExplosionInArea(int explosionType, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
035C	placeObjectRelativeToCar(Object object, Vehicle car, float offsetX, float offsetY, float offsetZ)	
035D	makeObjectTargettable(Object object, bool targetable)	
035F	addArmourToChar(Ped ped, int points)	
0360	openGarage(GxtString garage)	
0361	closeGarage(GxtString garage)	
0362	warpCharFromCarToCoord(Ped ped, float placeAtX, float placeAtY, float placeAtZ)	
0363	setVisibilityOfClosestObjectOfType(float atX, float atY, float atZ, float radius, Model modelId, bool visibility)	
0364	bool result = hasCharSpottedChar(Ped ped, Ped ped)	
0366	bool result = hasObjectBeenDamaged(Object object)	
036A	warpCharIntoCar(Ped ped, Vehicle car)	
036D	printWith2NumbersBig(GxtString gxtString, int numbers1, int numbers2, int time, int style)	
0373	setCameraBehindPlayer()	
0376	Ped ped = createRandomChar(float atX, float atY, float atZ)	
037E	bool result = isSniperBulletInArea(float float1, float float2, float float3, float float4, float float5, float float6)	
0381	setObjectVelocity(Object object, float velocityInDirectionX, float velocityInDirectionY, float velocityInDirectionZ)	
0382	setObjectCollision(Object object, bool collision)	
0383		[1:9]
0384	printStringInStringNow(GxtString gxtString, GxtString string, int time1, int time2)	
038A	bool result = isPointObscuredByAMissionEntity(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
038B	loadAllModelsNow()	
038C	addToObjectVelocity(Object object, float velocityX, float velocityY, float velocityZ)	
038D	drawSprite(int texture, float positionX, float positionY, float width, float height, int r, int g, int b, int a)	
038E	drawRect(float positionX, float positionY, float width, float height, int r, int g, int b, int a)	
038F	int id = loadSprite(string name)	
0390	bool result = loadTextureDictionary(zstring txd)	
0391	removeTextureDictionary()	
0392	setObjectDynamic(Object object, bool moveable)	
0393	setCharAnimSpeed(Ped ped, string animation, float speed)	
0394	playMissionPassedTune(int music)	
0395	clearArea(float atX, float atY, float atZ, float radius, bool area)	
0396	freezeOnscreenTimer(bool timer)	
0397	switchCarSiren(Vehicle car, bool siren)	
039C	setCarWatertight(Vehicle car, bool watertight)	
039E	setCharCantBeDraggedOut(Ped ped, bool locked)	
039F	turnCarToFaceCoord(Vehicle car, float coordX, float coordY)	
03A1	drawSphere(float atX, float atY, float atZ, float radius)	
03A2	setCarStatus(Vehicle car, int action)	
03A3	bool result = isCharMale(Ped ped)	
03A4		[3:7]
03A7		[1:10]
03A8		[1:11]
03AA	policeRadioMessage(float float1, float float2, float float3)	
03AB	setCarStrong(Vehicle car, bool strong)	
03AD	switchRubbish(bool int1)	
03AF	switchStreaming(bool streaming)	
03B0	bool result = isGarageOpen(GxtString garage)	
03B1	bool result = isGarageClosed(GxtString garage)	
03B6	swapNearestBuildingModel(float atX, float atY, float atZ, float radius, Model from, Model to)	
03B7	switchWorldProcessing(bool cutsceneOnly)	
03BA	clearAreaOfCars(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
03BC	int sphere = addSphere(float atX, float atY, float atZ, float radius)	
03BD	removeSphere(int sphere)	
03BF	setEveryoneIgnorePlayer(Player player, bool ignored)	
03C0	Vehicle car = storeCarCharIsInNoSave(Ped ped)	
03C3	displayOnscreenTimerWithString(VarId timer, int type, GxtString gxtString)	
03C4	displayOnscreenCounterWithString(VarId var, bool type, GxtString gxtString)	
03C5	createRandomCarForCarPark(float coordsX, float coordsY, float coordsZ, float zAngle)	
03C7	setWantedMultiplier(float sensitivity)	
03C8	setCameraInFrontOfPlayer()	
03C9	bool result = isCarVisiblyDamaged(Vehicle car)	
03CA	bool result = doesObjectExist(Object object)	
03CB	loadScene(float atX, float atY, float atZ)	
03CC	addStuckCarCheck(Vehicle car, float stuckCheckDistance, int time)	
03CD	removeStuckCarCheck(Vehicle car)	
03CE	bool result = isCarStuck(Vehicle car)	
03CF	loadMissionAudio(int asId, int name)	
03D0	bool result = hasMissionAudioLoaded(int id)	
03D1	playMissionAudio(int id)	
03D2	bool result = hasMissionAudioFinished(int id)	
03D3	float nodeX, float nodeY, float nodeZ, float angle = getClosestCarNodeWithHeading(float X, float Y, float Z)	
03D4	bool result = hasImportGarageSlotBeenFilled(int int1, int int2)	
03D5	clearThisPrint(GxtString text)	
03D6	clearThisBigPrint(GxtString text)	
03D7	setMissionAudioPosition(int id, float locationX, float locationY, float locationZ)	
03D8	activateSaveMenu()	
03D9	bool result = hasSaveGameFinished()	
03DA	noSpecialCameraForThisGarage(int int1)	
03DC	Marker marker = addBlipForPickup(Pickup pickup)	
03DE	setPedDensityMultiplier(float multiplier)	
03E0	setTextDrawBeforeFade(bool int1)	
03E1	int collected = getCollectable1sCollected()	
03E3	setSpritesDrawBeforeFade(bool antialiased)	
03E4	setTextRightJustify(bool alignRight)	
03E5	printHelp(GxtString gxtString)	
03E6	clearHelp()	
03E7	flashHudObject(int hudComponent)	
03E8		[1:12]
03EA	setGenerateCarsAroundCamera(bool int1)	
03EB	clearSmallPrints()	
03ED	setUpsidedownCarNotDamaged(Vehicle car, bool disableFlippedExplosion)	
03EE	bool result = isPlayerControllable(Player player)	
03EF	makePlayerSafe(Player player)	
03F0	useRenderCommands	[2:12]
03F0	useRenderCommands(bool enable)	[4]
03F3	int primaryColor, int secondaryColor = getCarColours(Vehicle car)	
03F4	setAllCarsCanBeDamaged(bool enable)	
03F5	setCarCanBeDamaged(Vehicle car, bool enable)	
03FD	setDrunkInputDelay(Player player, int handlingResponsiveness)	
03FE	setCharMoney(Ped ped, int money)	
